day_of_week,day_name,promotion_flag,avg_units,avg_revenue,avg_profit
0,Monday,0,2.029598362752622,94.4195589664876,31.608510872345867
0,Monday,1,3.225980959580449,135.38054546313577,35.06370437740663
1,Tuesday,0,2.0333462783171523,94.65931106796117,31.695666278317155
1,Tuesday,1,3.209099552443012,135.94427474897387,35.48301880666929
2,Wednesday,0,2.03427742193755,94.55725205164131,31.59290907726181
2,Wednesday,1,3.215128781000621,135.66273498351413,35.25363191092847
3,Thursday,0,2.033568770410876,94.39815371762741,31.622271588061064
3,Thursday,1,3.227443954428519,135.80133039323778,35.59643789048144
4,Friday,0,2.035637149028078,95.12290933868148,31.843439267715727
4,Friday,1,3.220264801618721,134.9079787982757,35.04303048297704
5,Saturday,0,2.0352581617989354,94.81794523043293,31.74890582306151
5,Saturday,1,3.2413972625745235,135.63542648417163,34.933127046771354
6,Sunday,0,2.043320584213551,95.15728780642478,31.891472027902736
6,Sunday,1,3.231972516261793,135.58581518232393,34.81411401566015
