store_id,sku_id,stock_on_hand,units_30d,units_90d,avg_daily_demand_30d,avg_daily_demand_90d,calibrated_forecast_30d,calibrated_forecast_60d,calibrated_forecast_90d,planning_daily_demand,planning_days_of_inventory,calibrated_inventory_coverage_days,planning_inventory_risk,planning_stockout_risk,planning_reorder_point,planning_target_stock,inventory_gap_to_target,suggested_reorder_quantity,planning_reorder_status,reorder_priority,demand_available,inventory_coverage_category,executive_inventory_flag,replenishment_decision,business_action
9,1101,300,0.0,10.0,0.0,0.1111111111111111,1.34750818620399,2.891043748287142,6.177379978362844,0.0468084151953732,6409.103977304779,6678.994674869866,SEVERE_OVERSTOCK,0.0,0.6553178127352253,1.7319113622288094,-298.2680886377712,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1021,425,0.0,4.0,0.0,0.0444444444444444,1.321006026296198,2.864340958851101,6.114519988483769,0.0265433935962953,16011.517082703307,9651.734924895169,SEVERE_OVERSTOCK,0.0,0.3716075103481344,0.9821055630629266,-424.017894436937,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1200,252,2.0,5.0,0.0666666666666666,0.0555555555555555,1.7873178707970434,3.884541666765511,9.148909321912514,0.0612065120413037,4117.208963483228,4229.801605815458,SEVERE_OVERSTOCK,0.0,0.8568911685782528,2.26464094552824,-249.73535905447176,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1041,220,4.0,8.0,0.1333333333333333,0.0888888888888888,1.785666356327383,3.873447451633542,8.222901469217822,0.0978566635632738,2248.1861938584148,3696.099204990544,SEVERE_OVERSTOCK,0.0,1.3699932898858336,3.620696551841132,-216.37930344815888,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1092,170,0.0,3.0,0.0,0.0333333333333333,1.3439124466692296,2.8881505060542816,6.178875332808388,0.0234391244666922,7252.830635443535,3794.890070882153,SEVERE_OVERSTOCK,0.0,0.3281477425336921,0.8672476052676149,-169.1327523947324,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1094,262,0.0,8.0,0.0,0.0888888888888888,1.3439124466692296,2.8881505060542816,6.179291290738293,0.0401057911333589,6532.722397341643,5848.595285712494,SEVERE_OVERSTOCK,0.0,0.5614810758670254,1.4839142719342815,-260.5160857280657,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1143,293,0.0,11.0,0.0,0.1222222222222222,1.3664213540467731,2.9538668008181994,6.327029180196437,0.0503308802071344,5821.475777776429,6432.86199675354,SEVERE_OVERSTOCK,0.0,0.7046323228998816,1.862242567663973,-291.137757432336,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1111,271,0.0,5.0,0.0,0.0555555555555555,1.3433914164356993,2.8845052095645567,6.167563988625397,0.0301005808310236,9003.14852797423,6051.847511107823,SEVERE_OVERSTOCK,0.0,0.4214081316343312,1.1137214907478752,-269.8862785092521,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1119,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,NO_FORECAST_DEMAND,0.0,0.0,0.0,-342.0,0,NO_FORECAST_DEMAND,P5 - NO ACTION,FALSE,0-30 DAYS,NORMAL,NO IMMEDIATE REORDER,NO_ACTION_REVIEW_DORMANT
9,1025,126,0.0,5.0,0.0,0.0555555555555555,1.3339678921837324,2.892388529329923,6.167492357662853,0.0300063455885039,4199.111805480005,2833.6514110636226,SEVERE_OVERSTOCK,0.0,0.4200888382390559,1.1102347867746476,-124.88976521322536,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1066,181,0.0,5.0,0.0,0.0555555555555555,1.342702991255213,2.89672991361662,6.169931496967842,0.0300936965792187,6014.548579086477,4044.081256513636,SEVERE_OVERSTOCK,0.0,0.4213117521090632,1.1134667734310957,-179.8865332265689,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
9,1100,136,1.0,2.0,0.0333333333333333,0.0222222222222222,1.79477883186959,3.852826247980461,8.234607888081399,0.0379477883186959,3583.8715779121258,2273.2605976581167,SEVERE_OVERSTOCK,0.0,0.5312690364617426,1.404068167791748,-134.5959318322083,0,NO_REORDER,P5 - NO ACTION,TRUE,>365 DAYS,EXTREME OVERSTOCK,DO NOT REORDER - EXTREME OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK
