store_id,sku_id,stock_on_hand,planning_daily_demand,planning_days_of_inventory,calibrated_forecast_30d,calibrated_forecast_60d,calibrated_forecast_90d,stock_to_planning_30d_ratio,planning_inventory_risk,business_action,excess_stock_vs_30d_forecast,recommended_action
23,1071,444,0.0166818081335379,26615.81984673233,1.3348474800204608,2.8818066739126587,6.162270187537387,887.1939948910778,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,442.66515251997953,STOP_REPLENISHMENT_REVIEW_STOCK
34,1039,377,0.0165869314611663,22728.736830114747,1.325359812783299,2.876165056343493,6.122947297735532,757.6245610038249,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,375.6746401872167,STOP_REPLENISHMENT_REVIEW_STOCK
8,1141,373,0.0169649022850566,21986.56931425732,1.3631568951723294,2.9415286381728043,6.321678754175352,732.8856438085775,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,371.6368431048277,STOP_REPLENISHMENT_REVIEW_STOCK
9,1102,358,0.0168084151953732,21298.85511743813,1.34750818620399,2.891043748287142,6.177379978362844,709.9618372479378,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,356.652491813796,STOP_REPLENISHMENT_REVIEW_STOCK
12,1004,356,0.0168026890515523,21187.084930736764,1.3469355718219,2.922317845095637,6.2066191689042025,706.2361643578922,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,354.6530644281781,STOP_REPLENISHMENT_REVIEW_STOCK
33,1010,420,0.0200274843506177,20971.181035377725,1.3360817683951125,2.8888333628659915,6.17284175289744,699.0393678459243,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,418.6639182316049,STOP_REPLENISHMENT_REVIEW_STOCK
49,1188,422,0.0202872172116829,20801.275778571504,1.362055054501631,2.9377562675437083,6.307743711271165,693.3758592857167,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,420.63794494549836,STOP_REPLENISHMENT_REVIEW_STOCK
10,1106,348,0.0167672474976903,20754.74821063724,1.3433914164356993,2.8851516574493563,6.168310540442231,691.8249403545746,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,346.6566085835643,STOP_REPLENISHMENT_REVIEW_STOCK
19,1032,349,0.0168195476547447,20749.666231454696,1.348621432141141,2.9041839031145367,6.197495439725127,691.6555410484899,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,347.65137856785884,STOP_REPLENISHMENT_REVIEW_STOCK
9,1158,349,0.0169443086256759,20596.8864065162,1.361097529234261,2.9603084741534698,6.236279848549612,686.5628802172065,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,347.63890247076574,STOP_REPLENISHMENT_REVIEW_STOCK
17,1176,339,0.0167571192259621,20230.20755708299,1.342378589262881,2.9011184850248863,6.200591484012477,674.3402519027663,SEVERE_OVERSTOCK,STOP_REPLENISHMENT_REVIEW_STOCK,337.65762141073714,STOP_REPLENISHMENT_REVIEW_STOCK
