sku_id,store_count,stock_on_hand,calibrated_forecast_30d,calibrated_forecast_60d,calibrated_forecast_90d,planning_daily_demand,severe_overstock_count,no_forecast_count,reorder_count,suggested_reorder_quantity,planning_30d_demand,stock_to_forecast_30d_ratio,inventory_coverage_days,business_status,business_action
1188,46,12189,62.97971235476786,136.15067797886832,291.7653116447086,2.40313045688101,41,5,0,0,72.0939137064303,193.53851493221745,5072.134126176377,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1086,47,11787,64.93950245014705,139.76916082948773,298.96027734814487,2.4460616911681354,41,6,0,0,73.38185073504407,181.50739619615473,4818.76644508137,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1128,40,9979,56.25705815617421,121.53686829283508,259.980975885411,2.1792372482284073,34,6,0,0,65.37711744685222,177.3821868235178,4579.125108159906,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1119,39,9845,55.81773541100223,120.25930959522444,257.80106709169587,2.148177354110021,35,4,0,0,64.44532062330063,176.3776320824985,4582.954932079495,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1071,43,11343,65.14035206041287,140.41232524695786,300.7812877263399,2.65473685393746,41,2,0,0,79.64210561812381,174.13169627146328,4272.739869933344,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1196,43,10403,60.758888365613934,132.06611334250928,280.56443241163805,2.450922216989471,38,5,0,0,73.52766650968414,171.21774739196027,4244.524745782534,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1127,45,10411,61.160175399396124,131.71582628791282,282.21224675072483,2.1516017539939596,38,7,0,0,64.54805261981879,170.2251494867818,4838.7207254662,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1029,43,10788,63.51370884057856,137.22990256453835,292.82498592334355,2.7218037550724503,39,4,0,0,81.65411265217351,169.85309466147262,3963.548062528424,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1121,42,10212,60.2635572369694,129.9522765025221,278.6517465134521,2.0893022390363587,38,4,0,0,62.679067171090765,169.4556456374488,4887.756213150877,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1094,44,10898,64.33766480026544,138.49311011418595,296.56960164901784,2.683376648002653,40,4,0,0,80.50129944007959,169.38755912003566,4061.300901650101,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1120,45,10795,65.1077223569126,140.38938153635854,300.88797760102364,2.8010772235691244,40,5,0,0,84.03231670707373,165.80214464918808,3853.8744698530813,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1104,44,10990,66.68802993082956,143.2852222270562,307.42157792076375,2.656880299308294,42,2,0,0,79.70640897924882,164.79719091115894,4136.430234685843,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1166,47,11938,73.21493887652998,157.20291219142197,337.3711116061096,2.835482722098631,45,2,0,0,85.06448166295893,163.05415511078004,4210.217860599167,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1042,45,10620,66.21471930637132,143.88530938272567,307.47039710945813,2.555480526397045,41,4,0,0,76.66441579191134,160.38729924779915,4155.774184267829,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1070,44,10620,66.57529513938621,143.44826262455106,307.45766497681655,2.439086284727194,40,4,0,0,73.17258854181581,159.518631915417,4354.089507410691,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1010,43,10543,66.26253344725606,142.41973331063346,304.042517328507,2.5692920011392255,41,2,0,0,77.07876003417677,159.10952164833938,4103.465077276241,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1180,45,10454,66.19207853024307,142.55928491115975,306.8316171100152,2.5785874519690957,41,4,0,0,77.35762355907286,157.9343062210017,4054.157632705835,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1177,42,8823,56.8230997113979,122.46769708431418,262.66099682883436,2.211564330447311,35,7,0,0,66.34692991341933,155.27136049972,3989.4837688105868,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1178,45,10284,66.58130511284011,143.66931514687553,308.90992848704525,2.685813051128399,42,3,0,0,80.57439153385197,154.45777133042026,3829.0081268610083,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1024,43,9905,64.33136152422674,139.39702038840454,296.49563513120984,2.619980281908932,39,4,0,0,78.59940845726797,153.96844968483757,3780.56280361895,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1013,43,10465,67.97132588186521,146.19479897241163,312.49756123890444,2.166379925485317,41,2,0,0,64.99139776455951,153.96198123585623,4830.63929687015,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1021,45,10419,68.66610737035195,148.86177803723248,317.67911285393313,2.2233277403701845,44,1,0,0,66.69983221110553,151.73424559812202,4686.218685089241,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
1110,44,10379,69.57844290489723,149.62459285922256,321.29956796429747,2.462451095715637,43,1,0,0,73.87353287146911,149.1697653278395,4214.906041406543,OVERSTOCK_AND_DORMANT,STOP_REPLENISHMENT; REVIEW_TRANSFER_LIQUIDATION
