store_id,store_sku_count,stock_on_hand,calibrated_forecast_30d,calibrated_forecast_60d,calibrated_forecast_90d,planning_daily_demand,severe_overstock_count,no_forecast_count,reorder_count,suggested_reorder_quantity,planning_30d_demand,stock_to_forecast_30d_ratio,inventory_coverage_days,forecast_coverage_days,business_status,business_action
22,167,37015,242.53332543436773,524.4220283501759,1120.8241204360604,8.871999921010337,153,14,0,0,266.1599976303101,152.61820178199255,4172.114554728801,4578.546053459777,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
33,159,34725,230.324940750117,497.8905935399184,1057.8454834213733,9.123249407501163,145,14,0,0,273.6974822250349,150.76526183794257,3806.2096572136898,4522.957855138277,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
29,184,39134,264.79483062314057,571.254624963715,1223.228003499583,9.847948306231398,165,19,0,0,295.43844918694197,147.78989419055546,3973.8226464123018,4433.696825716664,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
9,165,36019,245.61543679456486,530.5437957385609,1130.5062165593922,9.899487701278975,152,13,0,0,296.98463103836923,146.647948801877,3638.471109504635,4399.438464056309,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
34,173,36273,247.41292401350324,533.3978644636168,1140.7554968077393,9.784129240135025,155,18,0,0,293.52387720405073,146.60915610867724,3707.3304235604537,4398.274683260317,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
19,187,40688,281.11492345880754,606.7834332118161,1295.7286312278493,11.4644825679214,174,13,0,0,343.934477037642,144.7379580542337,3549.0480934437014,4342.138741627011,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
36,159,34816,240.71495679159082,518.3694996961781,1106.3829133136533,9.223816234582568,151,8,0,0,276.71448703747706,144.63579855631252,3774.5765000678844,4339.073956689375,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
28,178,38402,265.8805576323218,573.9062108759582,1225.3622736181321,10.288805576323211,166,12,0,0,308.66416728969637,144.4332761371178,3732.4060324719703,4332.998284113533,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
17,181,38652,269.582357405483,582.3858871697885,1243.4137703540875,10.765823574054822,166,15,0,0,322.9747072216447,143.37733511938592,3590.250177715124,4301.320053581577,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
23,166,34716,244.05744619127552,528.2606687936128,1129.1780795975594,9.737241128579416,150,16,0,0,292.1172338573825,142.24519899627228,3565.2809190589264,4267.355969888168,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
35,182,39097,277.7909407386969,598.9200915435393,1278.671303395001,11.034576074053629,173,9,0,0,331.03728222160885,140.7425306816483,3543.135661725285,4222.27592044945,OVERSTOCK_AND_DORMANT_RISK,STOP_REPLENISHMENT; REVIEW_DORMANT_STOCK; CONSIDER_TRANSFER_OR_LIQUIDATION
