date,units_sold,rf_forecast,xgb_forecast,lgb_forecast,rf_error,xgb_error,lgb_error
2025-08-03,1670,1386.307593915344,1400.4403,1437.6756869332048,283.6924060846561,269.5596923828125,232.32431306679518
2025-08-04,1018,982.3384420353365,857.18933,892.6896446903306,35.66155796466353,160.8106689453125,125.31035530966938
2025-08-05,978,1040.211847840436,1101.7474,1103.2276390384552,-62.211847840435894,-123.7474365234375,-125.22763903845521
2025-08-06,866,987.2017533476072,935.59204,965.662038302153,-121.20175334760722,-69.592041015625,-99.66203830215295
2025-08-07,729,1088.0900737220334,1118.2382,1092.7702239113673,-359.09007372203337,-389.2381591796875,-363.77022391136734
2025-08-08,1237,1060.1612566490514,1107.7931,1126.6121339890883,176.83874335094856,129.2069091796875,110.3878660109117
2025-08-09,1582,1282.843904761905,1270.6423,1287.9624302911225,299.1560952380951,311.357666015625,294.0375697088775
2025-08-10,1450,1318.7255899470904,1224.7894,1459.537869035654,131.27441005290962,225.2105712890625,-9.537869035654012
2025-08-11,448,1015.9885423121063,1052.7551,923.8080992305996,-567.9885423121063,-604.755126953125,-475.8080992305996
2025-08-12,1007,1079.4870988246355,1186.0834,1277.2581422070627,-72.4870988246355,-179.0833740234375,-270.25814220706275
2025-08-13,1187,1106.6913162514695,1249.858,1226.024798311523,80.30868374853048,-62.8580322265625,-39.024798311523
2025-08-14,1329,1081.8234985196098,1125.6691,1139.2272302206557,247.17650148039024,203.3309326171875,189.77276977934434
2025-08-15,1114,1049.150052411023,1021.05743,1069.1563829674735,64.8499475889771,92.94256591796875,44.84361703252648
2025-08-16,1503,1370.0789523809528,1532.2603,1588.100409820144,132.92104761904716,-29.26025390625,-85.10040982014402
2025-08-17,1162,1344.925456349206,1515.8296,1543.4288837990375,-182.9254563492059,-353.82958984375,-381.4288837990375
2025-08-18,1131,1146.5854445804694,1224.7037,1243.1236494338677,-15.585444580469357,-93.7037353515625,-112.12364943386774
2025-08-19,999,1004.6625222885174,999.43945,1018.3346309011775,-5.66252228851738,-0.439453125,-19.334630901177547
2025-08-20,909,1122.5611177041728,1225.5803,1112.2935229306527,-213.56111770417283,-316.580322265625,-203.29352293065267
2025-08-21,753,1075.559242203634,1077.8397,1036.8449434450242,-322.5592422036341,-324.8397216796875,-283.8449434450242
2025-08-22,849,1074.85703698619,1136.852,1052.7062427650578,-225.85703698619,-287.85205078125,-203.70624276505782
2025-08-23,1472,1330.2491678691672,1488.764,1442.8296468134224,141.7508321308328,-16.7640380859375,29.170353186577586
2025-08-24,1006,1375.5589074074078,1375.9478,1260.677001808336,-369.5589074074078,-369.94775390625,-254.67700180833594
2025-08-25,990,987.1253950481891,966.49945,975.1710046064601,2.874604951810852,23.50054931640625,14.828995393539913
2025-08-26,1301,1079.963641616951,1247.8226,1227.3455896475602,221.036358383049,53.1773681640625,73.65441035243975
2025-08-27,778,1011.9124052655649,985.7468,968.2543249460823,-233.91240526556487,-207.746826171875,-190.2543249460823
2025-08-28,1154,1068.912054816824,1050.1865,1053.6524760127131,85.08794518317609,103.8134765625,100.34752398728688
2025-08-29,1127,1117.0773442775262,1134.597,1186.875463033737,9.922655722473792,-7.5970458984375,-59.875463033737105
2025-08-30,1340,1375.5573240740744,1491.581,1472.5813127653714,-35.55732407407436,-151.5810546875,-132.58131276537142
2025-08-31,1514,1404.0057301587308,1408.595,1505.074940521817,109.99426984126922,105.405029296875,8.925059478182902
2025-09-01,473,563.286156084656,459.10464,495.5725487315802,-90.286156084656,13.895355224609375,-22.572548731580184
2025-09-02,562,528.8674826751839,564.5654,611.1198030348459,33.13251732481615,-2.5654296875,-49.11980303484586
2025-09-03,398,520.6864683284196,549.851,589.9558431287286,-122.68646832841955,-151.85101318359375,-191.9558431287286
2025-09-04,698,516.3632685185189,489.35696,541.0817154785698,181.6367314814811,208.64303588867188,156.91828452143022
2025-09-05,650,538.6118584656086,551.5033,510.8204905791946,111.38814153439137,98.4967041015625,139.1795094208054
2025-09-06,365,696.3763498075997,695.86456,695.7378621539833,-331.3763498075997,-330.86456298828125,-330.7378621539833
