sku_id,total_stock,forecast_30d,forecast_60d,forecast_90d,suggested_reorder_qty,stores,high_risk_items,critical_items,overstock_items
1001,5919,155.309270608,332.492762744,641.087791024,0.0,48,0,0,48
1002,7783,146.017729298,310.798341953,583.275998463,0.0,45,0,0,45
1003,7089,149.266225855,317.934674606,597.104572836,0.0,46,0,0,46
1004,9963,149.186657383,320.416223789,617.14705077,0.0,46,0,0,46
1005,7182,149.193834396,320.426512478,618.34087125,0.0,46,0,0,46
1006,8453,149.54432246,320.500279508,617.603284474,0.0,46,0,0,46
1007,5874,123.157852646,264.124600922,509.60848145799997,0.0,38,0,0,38
1008,7055,143.371064699,306.877568092,590.699490788,0.0,44,0,0,44
1009,4380,130.33997260499999,279.131148347,537.762242307,0.0,40,0,0,40
1010,10543,140.950729669,300.483929771,577.955528276,0.0,43,0,0,43
1011,7557,149.267957886,320.6342443,618.080487159,0.0,46,0,0,46
1012,9048,146.292519347,314.125220705,605.521186934,0.0,45,0,0,45
1013,10465,139.547636482,298.891357343,576.700305698,0.0,43,0,0,43
1014,8329,144.207423824,307.456889297,593.147884281,0.0,44,0,0,44
1015,7588,140.652806922,299.944707833,578.724915403,0.0,43,0,0,43
1016,9900,146.194734019,312.954228346,604.564443961,0.0,45,0,0,45
1017,5874,134.389881328,286.696596057,553.797275556,0.0,41,0,0,41
1018,5930,127.450115599,272.225791749,525.632703374,0.0,39,0,0,39
1019,4947,143.455685793,307.758684067,593.698527917,0.0,44,0,0,44
1020,7940,134.476474159,287.203418321,552.602082471,0.0,41,0,0,41
1021,10419,146.1318806512,314.4147651112,606.9482573912,0.0,45,0,0,45
1022,6785,150.339957005,322.51492798,620.90008955,0.0,46,0,0,46
1023,6759,133.6163382418,286.9531933208,552.9779579708,0.0,41,0,0,41
1024,9905,140.315531199,300.566494756,579.376117746,0.0,43,0,0,43
1025,5722,140.684879923,300.842347346,579.526276982,0.0,43,0,0,43
1026,6079,118.950055881,253.651406423,486.890772437,0.0,36,0,0,36
1027,8461,147.538774317,316.547315877,609.666749479,0.0,45,0,0,45
1028,6357,144.270921439,309.388265109,594.821771111,0.0,44,0,0,44
1029,10788,141.361505783,303.46129008,583.941417606,0.0,43,0,0,43
1030,7802,150.750474349,323.625465303,622.004913473,0.0,46,0,0,46
1031,8598,141.4606242603,302.9668584893,582.3550725873,0.0,43,0,0,43
1032,7979,131.159457562,281.293402976,541.833267889,0.0,40,0,0,40
1033,6538,151.159494231,323.673009175,622.444991638,0.0,46,0,0,46
1034,6433,144.520317754,309.88284641,596.975176223,0.0,44,0,0,44
1035,4892,150.872757683,323.510323245,622.189851233,0.0,46,0,0,46
1036,4854,137.600378412,295.230358861,568.282584006,0.0,42,0,0,42
1037,4485,141.823780635,303.394451561,582.324758129,0.0,43,0,0,43
1038,5082,144.306330645,308.965399022,593.954160805,0.0,44,0,0,44
1039,8621,130.991933569,280.213854699,538.948682264,0.0,40,0,0,40
1040,5512,150.5538717085,322.6515413395,621.9315711035,0.0,46,0,0,46
1041,8349,144.359341065,308.875684658,594.202611622,0.0,44,0,0,44
1042,10620,146.071758923,314.021187932,605.838443286,0.0,45,0,0,45
1043,5346,143.697432842,308.755086555,595.652541889,0.0,44,0,0,44
1044,9475,150.865401739,323.188127405,622.527604643,0.0,46,0,0,46
1045,4269,128.10428229000001,273.888458229,527.582244843,0.0,39,0,0,39
1046,7431,160.138460273,343.522492007,661.4230177860001,0.0,49,0,0,49
1047,5799,133.216388563,286.601494047,553.285704351,0.0,41,0,0,41
1048,8311,140.181697923,301.145614576,579.67251756,0.0,43,0,0,43
1049,5464,147.548357159,315.864141565,607.414353069,0.0,45,0,0,45
1050,8325,140.3506901973,301.5487730193,580.3740453833,0.0,43,0,0,43
1051,4808,150.378811466,322.494501673,620.582790412,0.0,46,0,0,46
1052,7719,146.616262863,315.646767672,608.504896405,0.0,45,0,0,45
1053,8866,147.950275374,316.767454672,609.157896801,0.0,45,0,0,45
1054,9490,149.908502153,322.63673346,621.868593169,0.0,46,0,0,46
1055,6976,133.110283194,286.425644514,551.816449506,0.0,41,0,0,41
1056,8059,135.3497959764,289.0561908694,554.6482273424,0.0,41,0,0,41
1057,10394,154.432010969,330.773463464,636.833592837,0.0,47,0,0,47
1058,7519,144.594316513,309.639593356,596.000087519,0.0,44,0,0,44
1059,5354,150.245971178,322.658766859,621.358385841,0.0,46,0,0,46
1060,5733,138.243609772,295.505823289,568.543691023,0.0,42,0,0,42
1061,6647,128.41899889,274.256110099,526.351799062,0.0,39,0,0,39
1062,6902,134.121676852,287.755747817,554.116947445,0.0,41,0,0,41
1063,9011,153.637896509,329.965605114,636.080206997,0.0,47,0,0,47
1064,9040,151.710200577,324.41568651,624.367817367,0.0,46,0,0,46
1065,4849,144.66778553,308.419600215,594.052057208,0.0,44,0,0,44
1066,6583,144.1177715,307.272297144,591.427267581,0.0,44,0,0,44
1067,9605,144.633521092,308.505639373,594.731308781,0.0,44,0,0,44
1068,4732,145.234520803,309.488154565,596.677025112,0.0,44,0,0,44
1069,8697,128.1885855,273.461223959,527.359005574,0.0,39,0,0,39
1070,10620,144.542073884,308.250056875,593.65747009,0.0,44,0,0,44
1071,11343,141.63792021,301.356532711,580.147865126,0.0,43,0,0,43
1072,5314,154.31739006,329.218502859,634.687319134,0.0,47,0,0,47
1073,4836,141.532808687,301.472146092,581.207861727,0.0,43,0,0,43
1074,7038,143.702395117,307.581870229,594.911839534,0.0,44,0,0,44
1075,9614,154.700564948,329.439025589,634.400094654,0.0,47,0,0,47
1076,8633,147.754412604,315.494729362,608.702358617,0.0,45,0,0,45
1077,6381,146.8554372685,314.3588262295,606.3859672045,0.0,45,0,0,45
